Modality,Model,AUC ROC,F10,F11,Precision0,Precision1,Recall0,Recall1,Accuracy
all,dummy,0.5,0.52,0.42,0.46,0.44,0.6,0.36,0.48
all,lr,0.62,0.63,0.63,0.67,0.6,0.64,0.7,0.65
all,rf,0.6,0.61,0.47,0.58,0.54,0.64,0.44,0.54
dpd,lr,0.52,0.5,0.52,0.57,0.5,0.46,0.67,0.5
dpd,rf,0.66,0.64,0.5,0.62,0.55,0.58,0.5,0.58
demo,lr,0.58,0.53,0.6,0.67,0.55,0.42,0.7,0.61
demo,rf,0.6,0.61,0.53,0.56,0.56,0.7,0.5,0.58
