Modality,Model,AUC ROC,F10,F11,Precision0,Precision1,Recall0,Recall1,Accuracy
all,dummy,0.5,0.46,0.36,0.43,0.44,0.5,0.31,0.4
all,lr,0.52,0.42,0.62,0.44,0.57,0.4,0.69,0.51
all,rf,0.61,0.57,0.64,0.5,0.57,0.6,0.67,0.6
dpd,lr,0.71,0.67,0.61,0.6,0.7,0.75,0.54,0.64
dpd,rf,0.65,0.54,0.4,0.5,0.6,0.58,0.36,0.5
demo,lr,0.48,0.42,0.59,0.44,0.57,0.4,0.62,0.51
demo,rf,0.41,0.27,0.52,0.33,0.5,0.22,0.64,0.44
