Modality,Model,AUC ROC,F10,F11,Precision0,Precision1,Recall0,Recall1,Accuracy
all,dummy,0.0,0.09999999999999998,-0.24000000000000005,0.050000000000000044,-0.16999999999999993,0.13,-0.28,-0.08000000000000002
all,lr,0.24999999999999994,0.45999999999999996,-0.4600000000000001,0.21999999999999997,-0.040000000000000036,0.79,-0.77,0.06000000000000005
all,rf,0.06000000000000005,0.25,-0.050000000000000044,0.15000000000000002,0.13,0.42,-0.18999999999999995,0.10999999999999999
dpd,lr,0.030000000000000027,0.12,-0.020000000000000018,0.19999999999999996,-0.14,0.0,0.039999999999999925,0.06000000000000005
dpd,rf,0.09999999999999998,0.08999999999999997,-0.23999999999999994,0.06000000000000005,-0.29,0.08999999999999997,-0.2,-0.030000000000000027
demo,lr,0.16000000000000003,0.74,-0.7,0.59,-0.54,1.0,-1.0,0.0
demo,rf,0.24000000000000005,0.42,0.019999999999999907,0.35,0.17000000000000004,0.51,-0.030000000000000027,0.25999999999999995
