Modality,Model,AUC ROC,F10,F11,Precision0,Precision1,Recall0,Recall1,Accuracy
all,dummy,0.0,-0.08999999999999997,-0.19,-0.18999999999999995,-0.030000000000000027,0.05999999999999994,-0.28,-0.10000000000000003
all,lr,-0.14,-0.17000000000000004,0.0,-0.14,0.12,-0.29,0.010000000000000009,-0.08999999999999997
all,rf,-0.040000000000000036,-0.18,0.07999999999999996,-0.04999999999999993,0.08999999999999997,-0.30999999999999994,-0.020000000000000018,0.030000000000000027
dpd,lr,-0.05999999999999994,-0.050000000000000044,0.07000000000000006,-0.07000000000000006,0.12,-0.12,0.019999999999999907,0.010000000000000009
dpd,rf,0.06999999999999995,-0.07000000000000006,0.0,-0.10999999999999999,0.12,0.050000000000000044,0.03999999999999998,0.0
demo,lr,-0.07999999999999996,-0.19,-0.020000000000000018,-0.31,0.08999999999999997,-0.15999999999999998,-0.06999999999999995,-0.08999999999999997
demo,rf,-0.08000000000000007,-0.32999999999999996,0.08000000000000007,-0.030000000000000027,0.06,-0.47,0.30000000000000004,-0.020000000000000018
