Modality,Model,AUC ROC,F10,F11,Precision0,Precision1,Recall0,Recall1,Accuracy
all,dummy,0.5,0.5,0.33,0.38,0.5,0.62,0.22,0.46
all,lr,0.51,0.36,0.61,0.5,0.62,0.33,0.7,0.48
all,rf,0.6,0.44,0.64,0.55,0.64,0.4,0.58,0.6
dpd,lr,0.56,0.57,0.64,0.6,0.67,0.5,0.58,0.62
dpd,rf,0.62,0.57,0.5,0.5,0.67,0.67,0.5,0.57
demo,lr,0.52,0.31,0.59,0.33,0.59,0.25,0.62,0.48
demo,rf,0.47,0.25,0.56,0.5,0.5,0.22,0.8,0.48
