Modality,Model,AUC ROC,F10,F11,Precision0,Precision1,Recall0,Recall1,Accuracy
all,dummy,0.5,0.52,0.55,0.5,0.57,0.54,0.53,0.54
all,lr,0.45,0.27,0.68,0.38,0.54,0.21,0.89,0.5
all,rf,0.58,0.48,0.55,0.47,0.54,0.46,0.57,0.52
dpd,lr,0.6,0.55,0.59,0.5,0.64,0.57,0.53,0.58
dpd,rf,0.6,0.55,0.57,0.5,0.62,0.62,0.53,0.54
demo,lr,0.5,0.0,0.7,0.0,0.54,0.0,1.0,0.5
demo,rf,0.42,0.32,0.55,0.36,0.5,0.29,0.6,0.43
