Modality,Model,AUC ROC,F10,F11,Precision0,Precision1,Recall0,Recall1,Accuracy
all,dummy,0.5,0.59,0.52,0.57,0.53,0.56,0.5,0.56
all,lr,0.65,0.53,0.61,0.64,0.5,0.62,0.69,0.57
all,rf,0.64,0.62,0.56,0.6,0.55,0.71,0.6,0.57
dpd,lr,0.62,0.62,0.57,0.67,0.55,0.62,0.56,0.61
dpd,rf,0.55,0.64,0.5,0.61,0.55,0.62,0.46,0.57
demo,lr,0.6,0.5,0.61,0.64,0.5,0.41,0.69,0.57
demo,rf,0.55,0.58,0.48,0.53,0.44,0.69,0.5,0.5
