Modality,Model,AUC ROC,F10,F11,Precision0,Precision1,Recall0,Recall1,Accuracy
all,dummy,0.5,0.62,0.31,0.55,0.4,0.67,0.25,0.46
all,lr,0.7,0.73,0.22,0.6,0.5,1.0,0.12,0.56
all,rf,0.64,0.73,0.5,0.62,0.67,0.88,0.38,0.63
dpd,lr,0.63,0.67,0.57,0.7,0.5,0.57,0.57,0.64
dpd,rf,0.7,0.64,0.33,0.56,0.33,0.71,0.33,0.51
demo,lr,0.66,0.74,0.0,0.59,0.0,1.0,0.0,0.5
demo,rf,0.66,0.74,0.57,0.71,0.67,0.8,0.57,0.69
