Modality,Model,AUC ROC,F10,F11,Precision0,Precision1,Recall0,Recall1,Accuracy
all,dummy,0.0,-0.06,-0.06,-0.030000000000000027,0.0,-0.09999999999999998,-0.04999999999999999,-0.07999999999999996
all,lr,-0.09999999999999998,-0.21000000000000002,-0.010000000000000009,-0.23000000000000004,-0.030000000000000027,-0.24,-0.010000000000000009,-0.14
all,rf,0.010000000000000009,-0.040000000000000036,0.17000000000000004,-0.07999999999999996,0.029999999999999916,-0.040000000000000036,0.23000000000000004,0.05999999999999994
dpd,lr,0.18999999999999995,0.17000000000000004,0.08999999999999997,0.030000000000000027,0.19999999999999996,0.29,-0.13,0.14
dpd,rf,-0.010000000000000009,-0.09999999999999998,-0.09999999999999998,-0.12,0.04999999999999993,0.0,-0.14,-0.07999999999999996
demo,lr,-0.09999999999999998,-0.11000000000000004,-0.010000000000000009,-0.23000000000000004,0.019999999999999907,-0.019999999999999962,-0.07999999999999996,-0.09999999999999998
demo,rf,-0.19,-0.33999999999999997,-0.010000000000000009,-0.23000000000000004,-0.06000000000000005,-0.48,0.14,-0.13999999999999996
